userId,total_time,study_count
3,0.48333333333333334,7
5,200.91666666666666,193
13,257.75,244
14,91.78333333333333,110
16,815.8333333333334,803
18,0.0,2
21,1620.0,1043
22,9.616666666666667,13
24,6.383333333333333,10
98,619.9166666666666,811
129,153.63333333333333,169
153,111.43333333333334,131
404,10.35,15
581,137.23333333333332,157
704,15.299999999999999,22
705,1.0333333333333334,3
877,1111.1,1333
1057,35.4,49
1089,25.75,32
1119,39.016666666666666,54
1168,2808.7,2924
1192,673.8166666666666,724
1272,287.8333333333333,193
1316,1.9166666666666665,9
1385,2415.9166666666665,2559
1533,6.2,22
1904,5449.066666666667,7003
2094,351.68333333333334,418
2191,0.0,1
2200,1191.4166666666667,1606
2508,89.25,79
2760,0.09999999999999999,12
2939,78.36666666666667,80
2943,2887.1666666666665,3454
2946,381.8833333333333,485
3018,2906.7,3484
3082,39.33333333333333,60
3214,2655.983333333333,2524
3566,73.26666666666667,89
3923,171.18333333333334,150
4292,72.61666666666666,84
4571,172.18333333333334,175
4764,68.28333333333333,138
4796,237.56666666666666,205
4913,8012.516666666666,10569
5053,0.0,1
5089,233.08333333333334,355
5183,18040.233333333334,29031
5376,2.8833333333333333,16
5626,1017.6333333333333,1118
5709,14.0,14
6035,152.73333333333332,226
6121,1894.4,2538
6419,3629.883333333333,4521
6923,159.31666666666666,160
7181,368.8,351
7384,129.2,135
7456,2902.2999999999997,4492
7523,0.1,5
7629,114.36666666666666,158
8198,12.0,46
8396,5099.483333333334,5529
8734,1421.25,1694
9201,7379.566666666667,8451
9463,56.7,79
9963,8803.883333333333,9630
10097,124.55,86
11033,1581.4833333333333,1829
11287,198.41666666666666,447
11356,0.11666666666666667,2
11669,0.08333333333333333,2
11757,3272.483333333333,3449
11917,8133.15,8745
11964,5.966666666666667,12
12147,5.266666666666667,13
12288,0.9333333333333333,7
12500,2929.233333333333,3192
12671,17.0,18
12967,1151.1,1258
13102,1542.5,1540
13124,4.033333333333333,6
13214,104.36666666666666,169
13293,44.9,54
13319,1525.1,1616
13495,4.716666666666667,18
13626,136.61666666666667,141
13627,120.01666666666667,131
13646,69.66666666666667,79
13647,1426.9,1720
13727,1381.0833333333333,1476
13838,227.2,289
13894,3204.6833333333334,2175
13901,8.3,11
13972,0.2833333333333333,3
13979,584.9666666666667,739
14005,374.46666666666664,339
14076,360.56666666666666,432
14428,78.56666666666666,99
14856,18.03333333333333,22
14896,0.41666666666666663,4
15230,275.26666666666665,304
15432,79.01666666666667,74
15485,9069.766666666666,9796
15821,527.7833333333333,449
16471,113.33333333333333,164
16472,0.45,2
16941,8723.533333333333,9545
17132,11.85,27
17274,299.6166666666667,308
18127,7.8999999999999995,22
18183,471.85,510
18233,3.8833333333333333,15
18474,1739.0666666666666,2280
18521,4939.483333333334,6265
18578,554.9333333333333,591
18988,208.51666666666668,363
19062,71.23333333333333,80
19154,150.61666666666667,168
19702,5.283333333333333,8
20010,68.58333333333333,76
20019,0.8999999999999999,6
20159,1571.35,1808
20237,20.583333333333332,40
20249,288.78333333333336,627
20277,2.6166666666666667,6
20646,4.033333333333333,14
20854,28.383333333333333,77
20900,0.4166666666666667,4
21002,635.45,677
21061,295.85,427
21107,110.33333333333334,62
21319,196.71666666666667,209
21324,0.23333333333333334,6
21414,6.683333333333333,17
21455,708.3333333333334,1143
21497,160.11666666666667,175
21504,56.95,57
21510,56.5,66
21511,150.55,157
21515,2158.75,2247
21529,499.1166666666667,363
21538,6686.366666666667,7753
21560,7410.4,4371
21588,482.4166666666667,779
21617,0.15,2
21858,1.0,4
21954,736.9666666666667,1084
22137,879.4833333333333,988
22389,337.65,396
22525,1661.5,2029
22682,1349.2666666666667,1182
22700,1601.8833333333334,1900
22995,946.3666666666667,813
23076,3354.6,3072
23078,1440.9166666666667,1672
24079,113.61666666666666,122
24787,0.2,3
25059,60.9,67
25662,258.75,267
25878,5876.266666666666,6191
25880,179.3,271
27627,134.26666666666665,148
27856,0.7666666666666667,5
27958,573.5166666666667,702
28065,1099.9333333333334,1579
28258,5.066666666666666,9
28268,598.75,762
28457,529.7166666666667,434
28622,12.799999999999999,26
28826,0.31666666666666665,3
29116,0.0,1
29139,9.916666666666666,12
29372,223.01666666666665,295
29720,0.06666666666666667,3
29838,1.7833333333333332,6
31085,0.11666666666666667,4
31203,0.08333333333333333,2
31219,0.0,1
31276,0.15,5
31279,179.45,208
31281,72.63333333333333,84
31304,120.36666666666667,131
31313,0.0,1
31335,1108.55,1123
31342,1237.6166666666666,1509
31349,149.0,307
31814,351.4,409
32236,13.083333333333332,16
32282,412.81666666666666,455
33184,0.0,1
33353,843.4,949
33388,3.0,6
33490,29.95,95
33533,721.2333333333333,664
33652,21.666666666666668,19
33716,5.116666666666666,8
33737,2177.5666666666666,2427
33794,9.549999999999999,18
34269,2.9499999999999997,8
34524,1170.1,1253
34605,1484.2666666666667,1377
34836,142.65,167
34865,649.0666666666666,913
34912,717.0833333333334,742
35044,578.9666666666667,876
35187,0.16666666666666666,2
35427,2190.633333333333,2232
35664,314.3,266
35922,495.7,594
36127,729.8333333333334,1123
36161,77.7,134
36542,354.23333333333335,410
36735,57.25,127
36765,0.05,2
36988,0.9833333333333334,14
37669,0.3,2
38417,1359.2,1782
38421,560.5333333333333,675
38597,1557.2833333333333,1532
38598,0.6166666666666667,4
38799,30.75,47
38937,53.65,18
39867,621.4333333333333,532
39897,2937.7666666666664,5382
39899,50.81666666666666,56
40066,0.06666666666666667,2
40119,399.5,548
40159,9.9,13
40191,1.0166666666666666,5
40299,231.6,257
40322,2489.633333333333,3365
40326,1278.7166666666667,1779
40332,3659.7833333333333,3151
40337,1633.0166666666667,1748
40356,1722.2833333333333,2041
40402,5011.216666666666,5127
40404,5783.816666666667,7774
40469,65.68333333333334,83
40480,472.85,593
40805,96.16666666666667,107
40806,1.6500000000000001,11
40807,1092.5,1266
40839,7.316666666666666,26
40866,6035.983333333334,6856
40891,1597.3833333333334,2104
40910,53.75,74
40956,438.56666666666666,445
40966,17.15,19
40979,1028.1,1002
40988,2211.8,1636
40998,7.483333333333333,38
41110,1571.45,2058
41154,29.416666666666664,34
41466,9296.1,13380
41610,828.1833333333333,931
41675,3364.95,4320
41676,603.7666666666667,570
41715,8417.25,8064
41751,9.233333333333333,12
41755,95.63333333333334,499
41770,535.6833333333334,366
41809,103.38333333333334,155
41838,2358.6,2994
41872,160.81666666666666,307
41880,7.833333333333334,11
41900,953.2833333333333,1031
41990,528.2,525
42010,248.71666666666667,284
42092,3804.5333333333333,3982
42206,4050.55,4208
42291,4406.416666666667,4607
42592,4709.933333333333,5519
42606,1378.4666666666667,1495
42928,1.8666666666666667,4
42942,91.95,217
43479,997.8,1059
43520,31.983333333333334,35
44023,759.8333333333334,1042
44091,240.36666666666667,344
44151,966.2166666666667,930
44152,0.55,4
44153,175.81666666666666,258
44232,2986.4166666666665,2952
44292,298.2833333333333,288
44357,570.0833333333334,689
44419,580.0,581
44519,10647.9,11242
44577,2100.3333333333335,2099
44764,13.1,20
44911,0.3333333333333333,7
44918,495.4,483
44958,0.2,2
45087,285.1666666666667,395
45112,25.183333333333334,37
45298,19.416666666666668,28
45317,4033.2666666666664,4465
45446,2274.8333333333335,2279
45487,393.3833333333333,465
45662,801.6333333333333,833
46020,151.35,118
46052,970.1166666666667,1408
46132,1797.3666666666666,3139
46197,543.4166666666666,478
46233,392.23333333333335,523
46234,1031.0333333333333,1216
46306,1936.05,2045
46336,1430.9333333333334,1889
46553,33.88333333333333,46
46604,362.5,381
46804,3934.8,3980
46868,88.6,97
47325,0.16666666666666666,2
47342,2606.866666666667,3283
47632,213.5,227
47840,140.73333333333335,214
47881,30.233333333333334,33
47900,769.0333333333333,794
47928,0.9333333333333333,4
48083,181.58333333333334,220
48127,718.8166666666666,816
48344,8244.983333333334,9584
48738,394.4166666666667,817
48873,7199.3,8854
49337,37.46666666666667,40
49449,17.65,29
49963,0.13333333333333333,2
50011,9.116666666666667,21
50013,601.4166666666666,818
50014,1507.7,1657
50345,130.08333333333334,140
50346,1755.2833333333333,1562
50505,107.9,112
50526,0.18333333333333332,4
50705,45.85,57
50707,2.4833333333333334,13
50742,215.45,248
50820,0.05,2
51348,160.11666666666667,192
51370,107.13333333333333,141
51557,430.6166666666667,528
51601,72.18333333333334,84
51863,3541.25,4506
51868,42.0,47
52049,1063.9333333333334,983
52095,223.4,278
52508,20.383333333333333,24
52650,3.25,9
52947,193.41666666666666,197
52965,46.666666666666664,49
53074,610.3333333333334,660
53106,731.6333333333333,763
53107,1526.4,2074
53119,1185.9833333333333,961
53140,0.05,2
53223,1927.7666666666667,1371
53224,7.7,10
53305,92.23333333333333,114
53512,308.21666666666664,441
53517,7.1499999999999995,17
53546,128.43333333333334,161
53547,12.183333333333334,16
53626,37.483333333333334,45
53834,31.716666666666665,34
53835,14.983333333333333,20
53836,4.933333333333334,9
53842,146.73333333333332,154
53843,53.88333333333333,57
53846,88.06666666666666,91
53848,13.966666666666667,17
53851,146.51666666666668,149
53852,17.0,19
53856,8.35,19
53858,52.016666666666666,204
53860,82.95,87
53862,96.46666666666667,141
53863,6.15,12
53864,60.25,80
53869,31.766666666666666,52
53870,183.73333333333332,189
53874,44.6,56
53876,95.11666666666666,102
53879,280.6166666666667,238
53880,6.716666666666667,10
53883,8.683333333333334,19
53890,91.64999999999999,121
53892,0.95,6
53911,91.11666666666666,154
54051,53.266666666666666,90
54168,147.08333333333334,159
54232,44.13333333333333,46
54345,2.15,7
54666,11.866666666666667,24
55007,62.8,50
55301,0.18333333333333332,6
55349,0.0,1
55354,0.08333333333333333,2
55483,448.71666666666664,538
55633,0.0,1
55771,49.86666666666667,82
55785,532.7833333333333,703
55787,54.65,130
55790,26.3,33
56003,386.59999999999997,313
56021,2605.55,5692
56314,1782.5833333333333,1857
56321,636.8166666666667,835
56380,0.3333333333333333,4
56381,2026.15,2214
56612,734.8833333333333,1450
56629,480.4166666666667,558
56736,6029.816666666667,6922
56878,50.416666666666664,73
56880,1083.3166666666666,1117
56903,1220.5666666666666,1142
56904,2.3,4
56909,7576.766666666666,7665
57009,192.06666666666666,236
57011,3462.9833333333336,3496
57071,13.049999999999999,26
57124,2847.8166666666666,2798
57129,433.23333333333335,476
57225,4.016666666666667,6
57294,2.4333333333333336,10
57431,480.2833333333333,427
57447,2298.8166666666666,2727
57545,172.03333333333333,205
57611,3854.133333333333,3671
57619,488.8666666666667,656
57686,3376.9166666666665,3775
57900,1123.6833333333334,1277
57925,5921.933333333333,6051
57939,102.05,132
57941,109.18333333333334,206
58306,8.466666666666667,14
58504,669.6666666666666,793
58646,335.1,263
58656,102.68333333333334,112
58664,3272.25,1030
58666,2077.9,2316
58668,1124.0,996
58731,0.18333333333333332,2
58807,428.9,533
58841,990.6833333333333,1297
58842,512.3,598
58854,136.33333333333334,142
58856,960.9833333333333,1069
58935,7696.233333333334,7894
59037,2.8833333333333333,14
59193,993.3,1437
59515,2142.6,1874
59632,5021.2,6073
59651,0.1,2
59722,10.35,13
59747,230.26666666666668,277
59807,1598.8,2383
60051,65.48333333333333,87
60052,2079.766666666667,2256
60074,527.3166666666666,605
60076,2.15,6
60077,1032.9333333333334,1155
60078,2909.4166666666665,2489
60128,0.23333333333333334,4
60223,864.9833333333333,985
60247,1.0,2
60259,364.73333333333335,277
60289,280.2833333333333,357
60290,0.05,2
60870,295.78333333333336,245
60882,148.51666666666668,160
60893,0.7833333333333333,13
61133,1.0166666666666666,5
61212,2170.233333333333,2590
61217,327.3666666666667,360
61247,117.35,177
61317,0.13333333333333333,8
61324,28.85,19
61328,76.05,58
61329,604.0333333333333,890
61330,180.98333333333332,376
61333,2347.883333333333,2198
61334,24.5,5
61353,544.4166666666666,617
61448,759.8,869
61514,211.06666666666666,231
61612,2.0166666666666666,3
61632,598.5666666666666,883
61863,1058.3166666666666,1682
61929,6.783333333333333,14
62164,4.766666666666667,12
62166,1943.8333333333333,2261
62357,1883.1166666666666,3107
62427,298.3666666666667,321
62428,46.81666666666667,59
62431,188.28333333333333,222
62432,57.8,97
62433,880.5166666666667,955
62438,2390.9333333333334,2888
62558,13.683333333333334,32
62624,148.7,198
62685,304.3333333333333,258
62696,556.6833333333334,174
62704,233.53333333333333,233
62782,69.85,105
63029,496.0833333333333,547
63460,0.0,7
63862,94.48333333333333,126
63971,1559.9666666666667,1426
64026,367.6166666666667,363
64056,1515.6666666666667,1509
64100,235.15,331
64165,1337.7666666666667,1584
64234,40.583333333333336,58
64246,5.05,12
64252,0.23333333333333334,2
64302,530.2166666666667,458
64479,120.1,121
64562,59.25,103
64853,5.6,27
64882,13038.133333333333,15471
65055,3096.983333333333,3827
65150,9.016666666666667,11
65367,2.0,5
65386,0.4,7
65387,92.5,103
65414,172.53333333333333,190
65421,250.31666666666666,189
65422,259.56666666666666,285
65496,137.78333333333333,149
65578,120.18333333333334,149
65685,100.2,112
65717,0.7333333333333334,13
65763,1443.9333333333334,1481
65991,7.85,22
66181,690.95,732
66215,1576.5833333333333,1564
66217,211.71666666666667,278
66298,822.5333333333333,968
66462,56.016666666666666,73
66488,109.46666666666667,119
66721,94.71666666666667,111
66786,40.93333333333333,48
67151,123.11666666666666,140
67268,0.23333333333333334,3
67370,278.9166666666667,284
67592,0.4166666666666667,3
67947,2566.5833333333335,2758
67977,7740.416666666667,7861
68133,139.0,161
68195,303.03333333333336,350
68369,0.35000000000000003,4
68370,703.4833333333333,574
68700,219.58333333333334,272
68716,0.31666666666666665,3
68758,2647.883333333333,2747
68913,507.4,458
69312,35.5,9
69441,216.81666666666666,182
69493,7.266666666666667,190
69714,2.683333333333333,7
70262,0.6166666666666667,4
70267,7580.05,8378
70302,8.05,9
70313,2490.75,3146
70562,322.3333333333333,332
70613,1165.9833333333333,1185
70704,0.9000000000000001,10
70726,0.0,34
70855,166.96666666666667,180
70868,2476.5,3551
70944,1136.6333333333334,1425
70946,3852.5666666666666,4612
70962,1104.4833333333333,1772
70981,8667.966666666667,8562
70982,148.66666666666666,203
70986,155.43333333333334,178
70987,131.11666666666667,156
71010,6795.349999999999,7860
71011,2107.633333333333,2484
71034,319.8333333333333,387
71041,331.01666666666665,380
71050,132.26666666666668,378
71070,1092.9666666666667,1862
71072,909.6833333333333,1031
71080,1192.5,1240
71390,0.06666666666666667,4
71439,1603.7666666666667,1728
71529,0.16666666666666669,4
71560,126.05,128
71992,227.5,299
72045,47.36666666666667,82
72117,427.9166666666667,467
72130,1.8333333333333333,15
72229,399.3833333333333,433
72602,359.35,367
72634,5.6,25
72681,300.65,269
72684,160.35,172
72693,1175.45,1295
72770,4.216666666666667,7
72912,0.3,4
72947,3.1666666666666665,5
